tau,m,Dg,LLE,H,S
1.000000,6.000000,1.178536,0.422384,0.562662,0.627160
4.000000,7.000000,1.852610,0.867824,0.490663,0.692178
5.000000,16.000000,0.668825,0.022901,0.552373,0.661649
3.000000,9.000000,1.776686,1.027491,0.514041,0.743177
1.000000,6.000000,1.345481,0.953048,0.471969,0.605240
1.000000,5.000000,0.866867,0.361217,0.654991,0.671556
1.000000,4.000000,1.175684,0.178391,0.543412,0.883306
9.000000,15.000000,0.449971,0.138551,0.625950,0.600136
3.000000,8.000000,1.655726,2.305922,0.415036,0.585571
5.000000,19.000000,0.588388,0.023863,0.639093,0.685206
3.000000,17.000000,1.298352,2.368356,0.564461,0.435957
4.000000,11.000000,1.156836,2.540654,0.452678,0.572902
4.000000,21.000000,0.434601,-0.011523,0.546805,0.663134
2.000000,5.000000,1.606829,1.031142,0.608447,0.571087
2.000000,8.000000,1.177477,0.716710,0.610185,0.529120
1.000000,5.000000,1.740504,1.605775,0.536328,0.680293
12.000000,13.000000,0.368535,0.022256,0.545952,0.684808
2.000000,5.000000,1.850975,0.526523,0.547712,0.654919
9.000000,14.000000,0.410254,-0.001057,0.618936,0.718533
2.000000,7.000000,1.291634,1.256529,0.644748,0.506589
2.000000,14.000000,2.018707,0.562857,0.572610,0.694307
7.000000,16.000000,0.268604,0.043826,0.494886,0.691757
8.000000,12.000000,0.604141,0.328141,0.499379,0.699711
4.000000,15.000000,1.092452,0.827543,0.636856,0.567310
2.000000,7.000000,2.279806,1.420226,0.486343,0.625360
2.000000,15.000000,2.212343,1.084884,0.631536,0.625459
1.000000,6.000000,1.574780,1.366499,0.438220,0.705871
2.000000,6.000000,1.943587,0.528452,0.552247,0.640935
1.000000,5.000000,1.182411,0.984707,0.652484,0.627507
2.000000,7.000000,2.103740,1.194920,0.504999,0.591821
3.000000,7.000000,2.031345,0.748162,0.524211,0.733615
1.000000,5.000000,1.147901,0.145320,0.597259,0.716190
1.000000,8.000000,1.503953,0.737716,0.611019,0.661646
4.000000,6.000000,1.821528,1.207548,0.555984,0.506478
2.000000,6.000000,1.504313,2.552688,0.375885,0.316881
2.000000,7.000000,1.830576,0.678305,0.619765,0.681196
2.000000,7.000000,2.087581,1.339454,0.447858,0.581287
1.000000,6.000000,1.638399,0.667596,0.570548,0.826061
1.000000,6.000000,0.784515,1.200348,0.709495,0.447414
2.000000,9.000000,2.060502,0.777038,0.515589,0.709924
2.000000,5.000000,2.284365,0.443973,0.494815,0.838654
1.000000,6.000000,1.193330,0.682397,0.553369,0.530684
4.000000,19.000000,1.050866,0.168306,0.520344,0.602842
8.000000,14.000000,0.730828,0.147452,0.662473,0.588324
2.000000,5.000000,2.539382,0.145020,0.601594,1.298001
2.000000,5.000000,1.843725,0.751806,0.581161,0.729873
2.000000,5.000000,2.028522,0.343177,0.531126,0.724063
2.000000,6.000000,1.089405,0.699887,0.578092,0.553097
3.000000,9.000000,1.596742,2.519203,0.445016,0.591334
1.000000,6.000000,1.775409,1.357256,0.415875,0.668185
2.000000,5.000000,1.914799,0.193532,0.568530,0.703995
2.000000,6.000000,1.362627,2.316861,0.416574,0.319248
1.000000,5.000000,1.578322,1.404657,0.420747,0.575109
3.000000,7.000000,1.674614,1.008646,0.531054,0.629297
2.000000,6.000000,2.082669,0.746594,0.598487,0.698682
